camera_id,timestamp,bbox,confidence
CAM_01,2026-06-03 14:57:09,"(880, 204, 966, 258)",0.7485811710357666
CAM_01,2026-06-03 14:57:09,"(880, 204, 966, 258)",0.7483649849891663
CAM_01,2026-06-03 14:57:09,"(880, 204, 966, 258)",0.7460412979125977
CAM_01,2026-06-03 14:57:10,"(880, 204, 966, 258)",0.7471871972084045
CAM_01,2026-06-03 14:57:10,"(880, 204, 966, 258)",0.7378619313240051
CAM_01,2026-06-03 14:57:10,"(880, 204, 966, 258)",0.7320684194564819
CAM_01,2026-06-03 14:57:10,"(880, 204, 966, 258)",0.7189135551452637
CAM_01,2026-06-03 14:57:11,"(880, 204, 966, 258)",0.7059187293052673
CAM_01,2026-06-03 14:57:11,"(880, 204, 966, 258)",0.6987289190292358
CAM_01,2026-06-03 14:57:11,"(880, 204, 966, 258)",0.686570405960083
CAM_01,2026-06-03 14:57:11,"(880, 204, 966, 258)",0.6783034801483154
CAM_01,2026-06-03 14:57:12,"(880, 204, 966, 258)",0.6762025952339172
CAM_01,2026-06-03 14:57:12,"(880, 204, 966, 258)",0.6822670698165894
CAM_01,2026-06-03 14:57:12,"(880, 204, 966, 258)",0.6721722483634949
CAM_01,2026-06-03 14:57:12,"(880, 204, 966, 258)",0.687221348285675
CAM_01,2026-06-03 14:57:13,"(880, 203, 966, 258)",0.7013271450996399
CAM_01,2026-06-03 14:57:13,"(880, 204, 966, 257)",0.5427747368812561
CAM_01,2026-06-03 14:57:13,"(880, 204, 966, 257)",0.5444126129150391
CAM_01,2026-06-03 14:57:13,"(880, 204, 966, 258)",0.6592751741409302
CAM_01,2026-06-03 14:57:13,"(880, 204, 966, 258)",0.6716011762619019
CAM_01,2026-06-03 14:57:14,"(880, 204, 966, 258)",0.6688385605812073
CAM_01,2026-06-03 14:57:14,"(880, 204, 966, 258)",0.6686829328536987
CAM_01,2026-06-03 14:57:14,"(880, 204, 966, 258)",0.6665075421333313
CAM_01,2026-06-03 14:57:14,"(880, 204, 966, 258)",0.666582465171814
CAM_01,2026-06-03 14:57:14,"(880, 204, 966, 258)",0.6698691248893738
CAM_01,2026-06-03 14:57:15,"(880, 204, 966, 258)",0.6698943376541138
CAM_01,2026-06-03 14:57:15,"(880, 204, 966, 258)",0.6700592041015625
CAM_01,2026-06-03 14:57:15,"(880, 204, 966, 258)",0.6697555780410767
CAM_01,2026-06-03 14:57:15,"(880, 204, 966, 258)",0.6611957550048828
CAM_01,2026-06-03 14:57:15,"(880, 204, 966, 258)",0.6611583828926086
CAM_01,2026-06-03 14:57:16,"(880, 204, 965, 257)",0.6455844640731812
CAM_01,2026-06-03 14:57:16,"(880, 204, 965, 257)",0.6398436427116394
CAM_01,2026-06-03 14:57:16,"(880, 204, 965, 257)",0.6439544558525085
CAM_01,2026-06-03 14:57:16,"(880, 204, 965, 257)",0.6436159610748291
CAM_01,2026-06-03 14:57:16,"(880, 204, 966, 257)",0.6492734551429749
CAM_01,2026-06-03 14:57:17,"(880, 204, 966, 257)",0.6489178538322449
CAM_01,2026-06-03 14:57:17,"(880, 204, 966, 257)",0.6529361009597778
CAM_01,2026-06-03 14:57:17,"(880, 204, 965, 257)",0.6531431078910828
CAM_01,2026-06-03 14:57:17,"(880, 204, 965, 257)",0.6533082127571106
CAM_01,2026-06-03 14:57:18,"(880, 204, 966, 258)",0.6213052868843079
CAM_01,2026-06-03 14:57:18,"(880, 204, 965, 257)",0.692634642124176
CAM_01,2026-06-03 14:57:18,"(880, 204, 966, 258)",0.5788245797157288
CAM_01,2026-06-03 14:57:18,"(879, 203, 966, 257)",0.6138938069343567
CAM_01,2026-06-03 14:57:18,"(880, 204, 966, 257)",0.5545397996902466
CAM_01,2026-06-03 14:57:19,"(880, 204, 966, 257)",0.535189688205719
CAM_01,2026-06-03 14:57:19,"(880, 204, 966, 257)",0.5407379865646362
CAM_01,2026-06-03 14:57:19,"(880, 204, 966, 257)",0.5368446707725525
CAM_01,2026-06-03 14:57:19,"(880, 204, 966, 257)",0.5417583584785461
CAM_01,2026-06-03 14:57:19,"(880, 204, 966, 257)",0.543631374835968
CAM_01,2026-06-03 14:57:20,"(880, 204, 966, 257)",0.5400775671005249
CAM_01,2026-06-03 14:57:20,"(880, 204, 966, 257)",0.5415667295455933
CAM_01,2026-06-03 14:57:20,"(880, 204, 966, 257)",0.5480319857597351
CAM_01,2026-06-03 14:57:20,"(880, 204, 966, 257)",0.5475820899009705
CAM_01,2026-06-03 14:57:20,"(880, 204, 966, 257)",0.5622850656509399
CAM_01,2026-06-03 14:57:21,"(880, 204, 965, 257)",0.6617268919944763
CAM_01,2026-06-03 14:57:21,"(880, 204, 965, 257)",0.6680738925933838
CAM_01,2026-06-03 14:57:21,"(880, 204, 965, 257)",0.6682445406913757
CAM_01,2026-06-03 14:57:21,"(880, 204, 965, 257)",0.6795701384544373
CAM_01,2026-06-03 14:57:22,"(880, 204, 965, 257)",0.6780637502670288
CAM_01,2026-06-03 14:57:22,"(879, 204, 965, 257)",0.6713466644287109
CAM_01,2026-06-03 14:57:22,"(879, 204, 965, 257)",0.6728470921516418
CAM_01,2026-06-03 14:57:22,"(880, 204, 965, 257)",0.6750176548957825
CAM_01,2026-06-03 14:57:22,"(879, 204, 966, 257)",0.6725292801856995
CAM_01,2026-06-03 14:57:23,"(879, 203, 966, 258)",0.607537567615509
CAM_01,2026-06-03 14:57:23,"(879, 203, 966, 258)",0.6072400808334351
CAM_01,2026-06-03 14:57:23,"(879, 203, 966, 258)",0.6045175790786743
CAM_01,2026-06-03 14:57:23,"(879, 203, 966, 258)",0.5986917614936829
CAM_01,2026-06-03 14:57:23,"(879, 203, 966, 258)",0.6014841198921204
CAM_01,2026-06-03 14:57:24,"(879, 203, 966, 258)",0.5938564538955688
CAM_01,2026-06-03 14:57:24,"(879, 203, 966, 258)",0.5946747660636902
CAM_01,2026-06-03 14:57:24,"(879, 203, 966, 258)",0.5947126746177673
CAM_01,2026-06-03 14:57:24,"(879, 203, 966, 258)",0.5936703085899353
CAM_01,2026-06-03 14:57:24,"(879, 203, 966, 258)",0.5970154404640198
CAM_01,2026-06-03 14:57:27,"(879, 203, 966, 257)",0.5941005349159241
CAM_01,2026-06-03 14:57:27,"(879, 203, 966, 257)",0.59279865026474
CAM_01,2026-06-03 14:57:27,"(879, 203, 966, 257)",0.5924652814865112
CAM_01,2026-06-03 14:57:27,"(879, 203, 965, 257)",0.5819093585014343
CAM_01,2026-06-03 14:57:27,"(879, 203, 965, 257)",0.5808846950531006
CAM_01,2026-06-03 14:57:28,"(879, 203, 965, 257)",0.5844371914863586
CAM_01,2026-06-03 14:57:28,"(879, 203, 965, 257)",0.5867274403572083
CAM_01,2026-06-03 14:57:28,"(879, 203, 965, 257)",0.5886446833610535
CAM_01,2026-06-03 14:57:28,"(879, 203, 965, 257)",0.5891414880752563
CAM_01,2026-06-03 14:57:28,"(879, 203, 965, 257)",0.5829593539237976
CAM_01,2026-06-03 14:57:29,"(880, 204, 966, 258)",0.635770320892334
CAM_01,2026-06-03 14:57:29,"(880, 204, 966, 258)",0.6280484199523926
CAM_01,2026-06-03 14:57:29,"(880, 204, 966, 258)",0.6307509541511536
CAM_01,2026-06-03 14:57:29,"(880, 204, 966, 258)",0.642425537109375
CAM_01,2026-06-03 14:57:29,"(880, 204, 966, 258)",0.644618809223175
CAM_01,2026-06-03 14:57:30,"(880, 204, 966, 258)",0.649259090423584
